"filename", "language", "CSS", "XML", "HTML", "JavaScript", "Python", "comment", "blank", "total"
"d:\Code\PythonWeb\Recommendation\recsystem\adminapp\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code\PythonWeb\Recommendation\recsystem\adminapp\admin.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"d:\Code\PythonWeb\Recommendation\recsystem\adminapp\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"d:\Code\PythonWeb\Recommendation\recsystem\adminapp\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code\PythonWeb\Recommendation\recsystem\adminapp\models.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code\PythonWeb\Recommendation\recsystem\adminapp\tests.py", "Python", 0, 0, 0, 0, 4, 1, 2, 7
"d:\Code\PythonWeb\Recommendation\recsystem\adminapp\urls.py", "Python", 0, 0, 0, 0, 26, 2, 2, 30
"d:\Code\PythonWeb\Recommendation\recsystem\adminapp\views.py", "Python", 0, 0, 0, 0, 297, 17, 51, 365
"d:\Code\PythonWeb\Recommendation\recsystem\loginapp\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code\PythonWeb\Recommendation\recsystem\loginapp\admin.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"d:\Code\PythonWeb\Recommendation\recsystem\loginapp\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"d:\Code\PythonWeb\Recommendation\recsystem\loginapp\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code\PythonWeb\Recommendation\recsystem\loginapp\models.py", "Python", 0, 0, 0, 0, 15, 1, 1, 17
"d:\Code\PythonWeb\Recommendation\recsystem\loginapp\tests.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"d:\Code\PythonWeb\Recommendation\recsystem\loginapp\urls.py", "Python", 0, 0, 0, 0, 12, 0, 1, 13
"d:\Code\PythonWeb\Recommendation\recsystem\loginapp\views.py", "Python", 0, 0, 0, 0, 89, 9, 14, 112
"d:\Code\PythonWeb\Recommendation\recsystem\manage.py", "Python", 0, 0, 0, 0, 15, 3, 5, 23
"d:\Code\PythonWeb\Recommendation\recsystem\recommendapp\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code\PythonWeb\Recommendation\recsystem\recommendapp\admin.py", "Python", 0, 0, 0, 0, 1, 1, 2, 4
"d:\Code\PythonWeb\Recommendation\recsystem\recommendapp\apps.py", "Python", 0, 0, 0, 0, 4, 0, 3, 7
"d:\Code\PythonWeb\Recommendation\recsystem\recommendapp\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code\PythonWeb\Recommendation\recsystem\recommendapp\models.py", "Python", 0, 0, 0, 0, 43, 1, 6, 50
"d:\Code\PythonWeb\Recommendation\recsystem\recommendapp\tests.py", "Python", 0, 0, 0, 0, 6, 1, 1, 8
"d:\Code\PythonWeb\Recommendation\recsystem\recommendapp\translateapi.py", "Python", 0, 0, 0, 0, 38, 4, 10, 52
"d:\Code\PythonWeb\Recommendation\recsystem\recommendapp\urls.py", "Python", 0, 0, 0, 0, 8, 0, 4, 12
"d:\Code\PythonWeb\Recommendation\recsystem\recommendapp\utils.py", "Python", 0, 0, 0, 0, 100, 34, 15, 149
"d:\Code\PythonWeb\Recommendation\recsystem\recommendapp\views.py", "Python", 0, 0, 0, 0, 131, 25, 20, 176
"d:\Code\PythonWeb\Recommendation\recsystem\recsystem\AdminLoginMiddleware.py", "Python", 0, 0, 0, 0, 18, 7, 7, 32
"d:\Code\PythonWeb\Recommendation\recsystem\recsystem\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code\PythonWeb\Recommendation\recsystem\recsystem\asgi.py", "Python", 0, 0, 0, 0, 4, 8, 5, 17
"d:\Code\PythonWeb\Recommendation\recsystem\recsystem\settings.py", "Python", 0, 0, 0, 0, 81, 28, 33, 142
"d:\Code\PythonWeb\Recommendation\recsystem\recsystem\urls.py", "Python", 0, 0, 0, 0, 7, 16, 2, 25
"d:\Code\PythonWeb\Recommendation\recsystem\recsystem\wsgi.py", "Python", 0, 0, 0, 0, 4, 8, 5, 17
"d:\Code\PythonWeb\Recommendation\recsystem\static\css\layui.css", "CSS", 4899, 0, 0, 0, 0, 0, 1, 4900
"d:\Code\PythonWeb\Recommendation\recsystem\static\css\modules\code.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 1
"d:\Code\PythonWeb\Recommendation\recsystem\static\css\modules\laydate\default\laydate.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 1
"d:\Code\PythonWeb\Recommendation\recsystem\static\css\modules\layer\default\layer.css", "CSS", 1, 0, 0, 0, 0, 0, 0, 1
"d:\Code\PythonWeb\Recommendation\recsystem\static\css\mycss.css", "CSS", 11, 0, 0, 0, 0, 0, 0, 11
"d:\Code\PythonWeb\Recommendation\recsystem\static\css\recommend.css", "CSS", 123, 0, 0, 0, 0, 8, 6, 137
"d:\Code\PythonWeb\Recommendation\recsystem\static\css\style.css", "CSS", 127, 0, 0, 0, 0, 7, 3, 137
"d:\Code\PythonWeb\Recommendation\recsystem\static\font\iconfont.svg", "XML", 0, 195, 0, 0, 0, 3, 357, 555
"d:\Code\PythonWeb\Recommendation\recsystem\static\jquery-1.8.2.min.js", "JavaScript", 0, 0, 0, 1, 0, 1, 0, 2
"d:\Code\PythonWeb\Recommendation\recsystem\static\layui.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1
"d:\Code\PythonWeb\Recommendation\recsystem\static\loginmaterial\logincss.css", "CSS", 60, 0, 0, 0, 0, 0, 0, 60
"d:\Code\PythonWeb\Recommendation\recsystem\templates\admin\adduserPage.html", "HTML", 0, 0, 122, 0, 0, 0, 7, 129
"d:\Code\PythonWeb\Recommendation\recsystem\templates\admin\addvenue.html", "HTML", 0, 0, 47, 0, 0, 0, 1, 48
"d:\Code\PythonWeb\Recommendation\recsystem\templates\admin\adminnav.html", "HTML", 0, 0, 43, 0, 0, 0, 0, 43
"d:\Code\PythonWeb\Recommendation\recsystem\templates\admin\dashboard.html", "HTML", 0, 0, 127, 0, 0, 3, 6, 136
"d:\Code\PythonWeb\Recommendation\recsystem\templates\admin\login.html", "HTML", 0, 0, 70, 0, 0, 0, 2, 72
"d:\Code\PythonWeb\Recommendation\recsystem\templates\admin\sysdashboard.html", "HTML", 0, 0, 126, 0, 0, 3, 3, 132
"d:\Code\PythonWeb\Recommendation\recsystem\templates\admin\usereditPage.html", "HTML", 0, 0, 114, 0, 0, 0, 8, 122
"d:\Code\PythonWeb\Recommendation\recsystem\templates\admin\venuedashboard.html", "HTML", 0, 0, 72, 0, 0, 0, 1, 73
"d:\Code\PythonWeb\Recommendation\recsystem\templates\admin\venueedit.html", "HTML", 0, 0, 67, 0, 0, 0, 1, 68
"d:\Code\PythonWeb\Recommendation\recsystem\templates\index.html", "HTML", 0, 0, 46, 0, 0, 0, 1, 47
"d:\Code\PythonWeb\Recommendation\recsystem\templates\loginapp\login.html", "HTML", 0, 0, 71, 0, 0, 0, 2, 73
"d:\Code\PythonWeb\Recommendation\recsystem\templates\loginapp\register.html", "HTML", 0, 0, 79, 0, 0, 0, 1, 80
"d:\Code\PythonWeb\Recommendation\recsystem\templates\recommend\index.html", "HTML", 0, 0, 113, 0, 0, 3, 7, 123
"d:\Code\PythonWeb\Recommendation\recsystem\templates\recommend\venue.html", "HTML", 0, 0, 41, 0, 0, 0, 1, 42
"d:\Code\PythonWeb\Recommendation\recsystem\templates\recommend\venuecommon.html", "HTML", 0, 0, 3, 0, 0, 0, 2, 5
"d:\Code\PythonWeb\Recommendation\recsystem\templates\user\userprofile.html", "HTML", 0, 0, 38, 0, 0, 0, 1, 39
"Total", "-", 5223, 195, 1179, 2, 914, 197, 620, 8330